"","emp_nonemp","bin_BL_gender","bin_BL_marital2","bin_BL_education","age_group","BL_F6","Labour_market_A4","FU_B1_imputed","BL_Difference_G","BL_B6_13","FU_A10_imputed","FU_A14_imputed","BL_A4_groupped","bin_FU_A1"
"248",1,1,1,0,4,0,2,8,1,1,1,2,NA,0
"249",1,1,1,1,4,0,5,6,2,1,2,3,1,0
"250",1,0,0,1,3,0,4,5,2,1,1,2,5,0
"251",1,1,1,1,2,0,4,6,2,1,1,3,6,0
"252",1,1,0,1,1,0,5,3,2,1,2,4,5,0
"253",1,1,0,1,2,0,5,7,2,1,2,3,5,0
"254",1,1,1,1,3,0,5,5,2,1,2,3,6,0
"255",1,0,1,0,3,0,5,4,1,1,1,3,5,0
"256",1,0,0,1,3,0,5,7,2,1,1,1,5,0
"257",1,0,1,1,3,0,2,6,2,1,1,4,5,0
"258",1,1,1,0,4,0,2,8,1,1,2,4,6,0
"259",1,0,0,0,1,0,5,6,2,1,1,2,5,0
"260",1,0,0,0,4,0,5,5,1,1,2,4,NA,0
"261",1,1,1,1,3,0,5,7,2,2,1,2,5,0
"262",1,0,1,1,3,0,5,7,1,2,1,2,5,0
"263",1,1,0,1,3,0,2,8,2,2,1,2,5,0
"264",1,1,0,1,1,0,5,6,2,2,1,3,5,0
"265",1,1,1,1,1,0,2,5,1,2,1,3,5,0
"266",1,1,1,1,3,0,5,7,2,2,1,2,5,0
"267",1,1,0,1,3,0,5,7,2,2,1,2,5,0
"268",1,1,1,1,3,0,5,6,2,2,2,2,6,0
"269",1,1,1,1,2,0,2,4,1,2,1,2,6,0
"270",1,1,1,0,1,0,5,4,1,2,1,2,6,0
"271",2,1,1,1,3,0,2,6,2,1,1,4,5,0
"272",2,0,0,1,1,0,5,8,2,1,1,3,1,0
"273",2,0,0,1,1,0,5,5,2,1,2,3,1,0
"274",2,0,0,1,2,0,5,7,2,1,1,3,1,0
"275",2,1,1,1,3,0,2,8,1,1,1,2,6,0
"276",2,1,1,1,3,0,2,7,1,1,1,3,6,0
"277",2,1,1,1,1,0,5,5,2,1,2,3,1,0
"278",2,1,1,1,4,0,2,8,1,1,1,1,5,0
"279",2,1,1,1,3,0,5,8,1,1,1,2,6,0
"280",2,0,0,1,2,0,5,6,2,1,1,3,1,0
"281",2,0,0,0,3,0,5,7,2,1,1,2,1,0
"282",2,1,1,1,3,0,5,4,1,1,2,3,5,0
"283",2,0,0,0,1,0,5,5,2,1,2,3,1,0
"284",2,1,1,0,3,0,2,5,2,1,1,3,6,0
"285",2,1,1,0,1,0,2,8,1,1,1,2,5,0
"286",2,0,1,1,3,0,5,7,2,1,1,3,5,0
"287",2,0,0,1,3,0,2,7,2,1,1,2,1,0
"288",2,0,0,1,2,0,5,5,2,1,2,3,5,0
"289",1,1,1,0,2,0,2,3,1,2,1,2,6,0
"290",2,1,1,0,1,0,2,7,1,2,2,2,6,0
"291",2,1,1,1,2,0,2,7,1,2,2,3,6,0
"292",2,1,1,0,1,0,2,7,2,2,1,2,6,0
"293",2,1,1,1,2,0,5,2,1,2,1,3,6,0
"294",2,1,1,0,1,0,5,5,2,2,1,3,4,0
"295",2,1,1,1,2,0,2,8,2,2,2,2,4,0
"296",2,1,1,1,1,0,2,1,1,2,1,3,6,0
"297",2,1,1,1,1,0,2,4,2,2,2,4,6,0
"298",2,1,1,0,2,0,5,6,1,2,1,1,6,0
"299",1,0,1,1,3,0,2,9,1,1,1,2,NA,0
"300",1,0,0,0,1,0,5,8,2,1,2,3,5,0
"301",2,0,0,0,2,0,5,7,1,1,1,2,5,0
"302",2,1,1,0,3,0,2,5,1,2,1,1,6,0
"303",2,1,1,0,3,0,2,6,1,2,1,2,6,0
"304",1,1,0,0,4,0,2,10,1,1,1,2,NA,0
"305",2,1,1,0,4,0,4,8,1,2,1,2,5,0
"306",2,1,1,0,4,0,2,10,1,1,1,2,6,0
"307",2,1,1,0,3,0,2,9,2,1,1,2,5,0
"308",2,1,1,1,3,0,4,6,2,1,2,2,5,0
"309",2,1,1,1,4,0,2,7,1,1,2,3,6,0
"310",2,1,1,0,4,0,5,7,1,1,1,2,8,0
"311",2,1,1,0,3,0,2,8,1,1,1,2,6,0
"312",2,0,1,0,4,0,2,5,2,1,1,3,5,0
"313",2,1,0,0,3,0,4,7,1,1,1,3,6,0
"314",2,1,1,0,1,0,2,7,1,1,1,1,6,0
"315",2,0,1,0,3,0,5,6,2,1,1,2,5,0
"316",2,0,1,1,4,0,2,10,1,1,1,2,5,0
"317",2,0,1,0,4,0,5,7,1,1,1,2,5,0
"318",2,0,1,1,3,0,4,7,2,1,1,2,5,0
"319",2,1,0,0,1,0,5,5,1,1,1,1,6,0
"320",2,0,1,1,1,0,4,5,2,1,2,1,5,0
"321",2,1,1,0,3,0,5,1,2,1,1,3,6,0
"322",2,1,0,1,3,0,2,6,1,1,1,3,6,0
"323",2,0,1,1,2,0,4,6,1,1,1,2,5,0
"324",2,0,1,0,3,0,4,7,1,1,1,1,5,0
"325",2,0,1,1,2,0,4,10,1,1,1,4,5,0
"326",2,1,1,1,3,0,2,8,1,1,1,2,0,0
"327",2,1,1,1,4,0,2,8,1,1,1,1,1,0
"328",2,1,1,1,4,0,2,7,1,1,1,2,6,0
"329",2,0,1,1,3,0,5,7,1,1,1,3,1,0
"330",2,0,1,0,2,0,2,8,1,1,2,1,1,0
"331",2,0,1,1,3,0,5,4,1,1,1,4,1,0
"332",2,0,1,0,4,0,5,7,1,1,1,2,1,0
"333",2,0,0,0,1,0,5,7,2,1,1,3,5,0
"334",2,0,1,0,4,0,2,7,1,1,2,2,15,0
"335",2,0,1,0,3,0,1,8,2,1,1,2,1,0
"336",2,1,1,0,2,0,4,6,1,1,1,1,12,0
"337",2,1,1,1,2,0,2,5,1,1,2,3,6,0
"338",1,1,0,1,1,0,5,7,2,1,1,3,5,0
"339",2,1,1,0,4,0,5,5,1,2,1,3,6,0
"340",2,1,1,0,1,0,2,7,1,2,1,2,6,0
"341",2,1,1,0,1,0,2,9,1,2,1,1,6,0
"342",2,1,1,0,3,0,2,4,1,2,1,3,6,0
"343",2,1,1,0,1,0,2,7,2,2,1,2,7,0
"344",2,1,1,0,4,0,4,5,1,2,1,2,6,0
"345",2,1,1,0,4,0,4,8,1,2,1,2,6,0
"346",2,1,1,0,4,0,2,6,1,2,1,2,6,0
"347",2,1,1,0,1,0,2,10,1,2,1,1,6,0
"348",2,1,1,0,1,0,2,4,2,2,2,3,6,0
"349",2,1,1,0,4,0,2,7,2,2,1,2,6,0
"350",2,1,0,0,1,0,2,4,2,2,2,3,6,0
"351",2,1,1,1,2,0,2,8,2,2,1,1,8,0
"352",2,1,1,0,2,0,2,5,1,2,2,2,6,0
"353",2,1,1,0,3,0,4,6,1,2,1,1,6,0
"354",2,1,1,0,4,0,5,6,1,2,2,4,3,0
"355",2,1,1,1,3,0,2,8,2,2,1,2,4,0
"356",2,1,1,1,3,0,2,9,1,2,1,2,6,0
"357",2,1,0,0,1,0,2,4,1,2,2,4,8,0
"358",2,1,1,0,3,0,2,7,1,2,2,2,6,0
"359",2,1,0,1,3,0,2,7,1,2,1,2,6,0
"360",2,1,0,0,1,0,2,5,1,2,2,3,8,0
"361",2,1,1,0,3,0,2,5,1,2,1,2,6,0
"362",2,1,1,0,3,0,4,5,1,2,1,3,6,0
"363",2,1,1,0,1,0,4,5,1,2,1,2,6,0
"364",2,1,0,0,1,0,4,2,1,2,2,4,6,0
"365",2,1,1,1,4,0,2,7,1,2,1,2,6,0
"366",2,1,1,0,3,0,2,4,1,2,1,2,6,0
"367",2,1,1,0,4,0,2,6,1,2,1,2,6,0
"368",2,1,1,0,3,0,5,7,1,2,1,3,6,0
"369",2,1,1,0,2,0,2,1,1,2,1,2,6,0
"370",2,1,1,1,3,0,4,7,1,2,1,1,6,0
"371",2,1,1,1,3,0,2,7,1,2,1,2,4,0
"372",2,1,1,0,1,0,2,7,1,2,1,1,4,0
"373",2,1,0,0,4,0,2,7,2,2,1,1,6,0
"374",2,1,1,0,3,0,2,7,1,2,1,1,6,0
"375",2,1,1,1,2,0,5,5,1,2,1,2,6,0
"376",2,1,1,0,2,0,2,6,1,2,1,2,6,0
